Temp(C),Temp (K),ftmprt,sr,xi,xs,ak1,Inter-S,Inter-E,delt,Portions
20.2,293.2,24.48785812,43146110757,1,0.472141941,0.208086228,0.805896493,0.743196363,0,0
19.9,292.9,24.05899624,28098899377,1,0.486771507,0.198925005,0.743196363,0.696940232,0,0
20.4,293.4,24.7732788,57398201112,1,0.462650027,0.214415953,0.696940232,0.651725183,0,0
19.2,292.2,23.05489391,10294688384,1,0.522821737,0.17902238,0.651725183,0.630596256,0,0
17.9,290.9,21.17731179,1574670358,0.999999999,0.597549858,0.14699378,0.630596256,0.626078792,0,0
16.5,289.5,19.13644214,204574371.4,0.999999995,0.690940301,0.118643922,0.626078792,0.633335239,0,0
14.5,287.5,16.18643478,10707283.65,0.999999907,0.852316347,0.087044211,0.633335239,0.651590256,0,0
13.1,286.1,14.0968892,1324955.192,0.999999245,0.988943237,0.06989837,0.651590256,0.674365433,0,0
12.3,285.3,12.8936558,397780.5701,0.999997486,1.077341386,0.061603532,0.674365433,0.698440992,0,0
11.5,284.5,11.68365554,118617.0524,0.99999157,1.174206363,0.054254485,0.698440992,0.723565671,0,0
10.7,283.7,10.46683116,35130.71717,0.999971536,1.280402143,0.047747928,0.723565671,0.749528687,0,0
10.1,283.1,9.549699753,14040.47842,0.999928782,1.366744478,0.043364857,0.749528687,0.775722119,0,0
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.775722119,0.80148649,0,0
9.4,282.4,8.474787535,4792.404441,0.99979138,1.475380236,0.038737117,0.80148649,0.827092046,0,0
9.6,282.6,8.782448691,6518.82022,0.999846622,1.443433244,0.040008761,0.827092046,0.851264318,0,0
9.2,282.2,8.166690291,3521.668953,0.999716124,1.508081093,0.037504173,0.851264318,0.875441482,0,0
8.3,281.3,6.774831141,875.5315093,0.99885914,1.665081645,0.032405429,0.875441482,0.900619947,0,0
7.1,280.1,4.90510532,134.977125,0.992645822,1.902012085,0.026629782,0.900619947,0.926934866,0,0
7,280,4.748571429,115.419282,0.991410358,1.923315086,0.026195726,0.926934866,0.952696869,0,0
8.4,281.4,6.929921819,1022.414044,0.999022878,1.646807988,0.032937386,0.952696869,0.975186665,0,0
12.1,285.1,12.59179235,294134.4791,0.9999966,1.10073162,0.059681832,0.975186665,0.982460209,0,0
16.4,289.4,18.98991016,176690497.6,0.999999994,0.698181946,0.116832688,0.982460209,0.951113995,0,0
18.8,291.8,22.47895819,5787453319,1,0.544692053,0.16851848,0.951113995,0.888084312,0,0
19.7,292.7,23.77259993,21101288284,1,0.496792793,0.193032811,0.888084312,0.819395012,0,0
19.9,292.9,24.05899624,28098899377,1,0.486771507,0.198925005,0.819395012,0.75939351,0,0
19.7,292.7,23.77259993,21101288284,1,0.496792793,0.193032811,0.75939351,0.713295246,0,0
19.4,292.4,23.34227086,13722063679,1,0.512239653,0.184505909,0.713295246,0.6794204,0,0
19.1,292.1,22.91105786,8915506107,1,0.528200024,0.176339303,0.6794204,0.654973129,0,0
18.8,291.8,22.47895819,5787453319,1,0.544692053,0.16851848,0.654973129,0.63787026,0,0
16.9,289.9,19.72155916,367252124.7,0.999999997,0.662764753,0.126160647,0.63787026,0.640820924,0,0
14.8,287.8,16.63154969,16710531.16,0.99999994,0.825745096,0.091208415,0.640820924,0.656941237,0,0
13,286,13.94685315,1140358.389,0.999999123,0.999557395,0.068805975,0.656941237,0.679722543,0,0
12.3,285.3,12.8936558,397780.5701,0.999997486,1.077341386,0.061603532,0.679722543,0.703478045,0,0
13,286,13.94685315,1140358.389,0.999999123,0.999557395,0.068805975,0.703478045,0.723165017,0,0
13.5,286.5,14.69598604,2412046.315,0.999999585,0.947672425,0.074435974,0.723165017,0.739269628,0,0
13.1,286.1,14.0968892,1324955.192,0.999999245,0.988943237,0.06989837,0.739269628,0.756125447,0,0
12.6,285.6,13.34565826,625094.5913,0.9999984,1.043243509,0.064597345,0.756125447,0.774086159,0,0
11.3,284.3,11.38009145,87561.04206,0.99998858,1.19984482,0.052552652,0.774086159,0.795883145,0,0
10.6,283.6,10.31424542,30159.2036,0.999966844,1.294379285,0.046989128,0.795883145,0.818765229,0,0
10.6,283.6,10.31424542,30159.2036,0.999966844,1.294379285,0.046989128,0.818765229,0.840596974,0,0
10.4,283.4,10.00875088,22220.06264,0.999954998,1.322823372,0.045505968,0.840596974,0.862049346,0,0
10.4,283.4,10.00875088,22220.06264,0.999954998,1.322823372,0.045505968,0.862049346,0.882547386,0,0
10,283,9.396466431,12045.74098,0.99991699,1.381727816,0.04267281,0.882547386,0.903400718,0,0
11.2,284.2,11.22814919,75218.25181,0.999986706,1.212887046,0.05172099,0.903400718,0.919000755,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.919000755,0.919646051,0,0
16.3,289.3,18.84327688,152591790.1,0.999999993,0.705504576,0.115047881,0.919646051,0.896373898,0,0
18.2,291.2,21.61208791,2432262940,1,0.579347075,0.153858884,0.896373898,0.851163655,0,0
19.9,292.9,24.05899624,28098899377,1,0.486771507,0.198925005,0.851163655,0.78543145,0,0
19.3,292.3,23.19863154,11886053119,1,0.517501837,0.181744402,0.78543145,0.740905416,0,0
19,292,22.76712329,7720332636,1,0.533637379,0.173694642,0.740905416,0.707857259,0,0
19.4,292.4,23.34227086,13722063679,1,0.512239653,0.184505909,0.707857259,0.674898632,0,0
19.2,292.2,23.05489391,10294688384,1,0.522821737,0.17902238,0.674898632,0.64997128,0,0
18.1,291.1,21.46726211,2104328202,1,0.585348062,0.151537195,0.64997128,0.640884346,0,0
17.6,290.6,20.74163799,1018541960,0.999999999,0.616363931,0.140421759,0.640884346,0.637671967,0,0
16.6,289.6,19.28287293,236834686,0.999999996,0.68377869,0.120481955,0.637671967,0.642905399,0,0
15.2,288.2,17.22359473,30207316.64,0.999999967,0.791682044,0.097057523,0.642905399,0.656666673,0,0
14.4,287.4,16.03785665,9228957.432,0.999999892,0.861374752,0.085696971,0.656666673,0.67347887,0,0
13.9,286.9,15.29341234,4383737.981,0.999999772,0.908231887,0.079254244,0.67347887,0.691365871,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.691365871,0.708840965,0,0
13.7,286.7,14.99490757,3252412.442,0.999999693,0.927728835,0.076809016,0.708840965,0.725024067,0,0
13.6,286.6,14.84549895,2801033.329,0.999999643,0.937644128,0.0756136,0.725024067,0.740508251,0,0
12.9,285.9,13.79671214,981377.1675,0.999998981,1.010293018,0.067729906,0.740508251,0.758175688,0,0
12.2,285.2,12.742777,342072.1636,0.999997077,1.088969604,0.060635407,0.758175688,0.777637511,0,0
11.7,284.7,11.98679312,160619.4394,0.999993774,1.149150625,0.056008921,0.777637511,0.79787357,0,0
10.9,283.9,10.77168017,47652.01373,0.999979015,1.252927768,0.049300818,0.79787357,0.819764071,0,0
11.3,284.3,11.38009145,87561.04206,0.99998858,1.19984482,0.052552652,0.819764071,0.839222547,0,0
12,285,12.44070175,252887.9425,0.999996046,1.112629066,0.058742601,0.839222547,0.854820539,0,0
11.6,284.6,11.83527758,138037.0743,0.999992756,1.161606538,0.055125032,0.854820539,0.871274449,0,0
12.8,285.8,13.64646606,844471.3254,0.999998816,1.02115158,0.066669931,0.871274449,0.880940935,0,0
13.4,286.4,14.54636872,2076862.117,0.999999519,0.957815093,0.073275885,0.880940935,0.886372524,0,0
14.4,287.4,16.03785665,9228957.432,0.999999892,0.861374752,0.085696971,0.886372524,0.884319515,0,0
15.5,288.5,17.66655113,47041988.19,0.999999979,0.767118897,0.101677721,0.884319515,0.872988633,0,0
16.8,289.8,19.57543133,317323187.7,0.999999997,0.669691836,0.124239933,0.872988633,0.849237044,0,0
17.9,290.9,21.17731179,1574670358,0.999999999,0.597549858,0.14699378,0.849237044,0.814831242,0,0
17,290,19.86758621,424994254,0.999999998,0.655914025,0.128109699,0.814831242,0.795722537,0,0
15.5,288.5,17.66655113,47041988.19,0.999999979,0.767118897,0.101677721,0.795722537,0.792957155,0,0
16.2,289.2,18.69654219,131766527.8,0.999999992,0.71290915,0.113289133,0.792957155,0.78438341,0,0
12.5,285.5,13.19509632,537721.6479,0.99999814,1.054479919,0.063584286,0.78438341,0.801022699,0,0
11.5,284.5,11.68365554,118617.0524,0.99999157,1.174206363,0.054254485,0.801022699,0.820730144,0,0
10.8,283.8,10.61930937,40917.34654,0.999975561,1.266585622,0.048518434,0.820730144,0.841845959,0,0
10.2,283.2,9.702824859,16363.7673,0.999938893,1.351934027,0.044067626,0.841845959,0.863836241,0,0
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.863836241,0.886033909,0,0
9.5,282.5,8.628672566,5589.653432,0.99982113,1.459313666,0.03936803,0.886033909,0.90816433,0,0
8.6,281.6,7.239772727,1393.777167,0.99928304,1.610897991,0.034026461,0.90816433,0.931673632,0,0
8.1,281.1,6.464318748,641.8269684,0.998444371,1.702279619,0.031366059,0.931673632,0.955469365,0,0
7.7,280.7,5.841966512,344.4560521,0.997105276,1.779355202,0.029382166,0.955469365,0.979324737,0,0
7.8,280.8,5.997720798,402.5103447,0.997521749,1.759744342,0.029866575,0.979324737,1.002288565,1.000729377,1.000729377
8.5,281.5,7.084902309,1193.806606,0.999163044,1.628747648,0.033477689,0.001559189,0.055131948,0,1.000729377
7.6,280.6,5.686101212,294.74224,0.996618677,1.799198821,0.028905276,0.055131948,0.104823055,0,1.000729377
6.2,279.2,3.49226361,32.86024638,0.970466842,2.103160939,0.022958795,0.104823055,0.150179823,0,1.000729377
5.8,278.8,2.861406026,17.48609556,0.945905289,2.199718412,0.021487462,0.150179823,0.19374943,0,1.000729377
7.8,280.8,5.997720798,402.5103447,0.997521749,1.759744342,0.029866575,0.19374943,0.239828793,0,1.000729377
11.9,284.9,12.28950509,217402.3557,0.9999954,1.124663596,0.057817507,0.239828793,0.289536889,0,1.000729377
14.7,287.7,16.4832812,14407813.13,0.999999931,0.834502715,0.089799642,0.289536889,0.336341652,0,1.000729377
16.3,289.3,18.84327688,152591790.1,0.999999993,0.705504576,0.115047881,0.336341652,0.376460999,0,1.000729377
17.7,290.7,20.8869625,1177856978,0.999999999,0.610023322,0.142580614,0.376460999,0.407497309,0,1.000729377
18.6,291.6,22.19039781,4336779267,1,0.555991369,0.163489784,0.407497309,0.4298939,0,1.000729377
19.2,292.2,23.05489391,10294688384,1,0.522821737,0.17902238,0.4298939,0.445125963,0,1.000729377
19.1,292.1,22.91105786,8915506107,1,0.528200024,0.176339303,0.445125963,0.458556257,0,1.000729377
18.5,291.5,22.04596913,3753554615,1,0.56173456,0.161029481,0.458556257,0.473902278,0,1.000729377
18.3,291.3,21.75681428,2811022915,1,0.573411668,0.156214512,0.473902278,0.488293756,0,1.000729377
15.8,288.8,18.10858726,73191310.12,0.999999986,0.743366534,0.106507562,0.488293756,0.514064205,0,1.000729377
13,286,13.94685315,1140358.389,0.999999123,0.999557395,0.068805975,0.514064205,0.546345722,0,1.000729377
11,284,10.92394366,55489.19866,0.999981979,1.239426653,0.050095254,0.546345722,0.580210474,0,1.000729377
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.580210474,0.613888807,0,1.000729377
9.8,282.8,9.089674682,8863.302189,0.999887188,1.412221739,0.041320263,0.613888807,0.646203902,0,1.000729377
10.5,283.5,10.16155203,25888.44549,0.999961374,1.308519026,0.046241864,0.646203902,0.67613326,0,1.000729377
