Temp(C),Portions
18.7,8.32048662
18.3,8.32048662
17.4,8.32048662
16.1,8.32048662
14.6,8.32048662
13.5,8.32048662
13.1,8.32048662
12.7,8.32048662
12.8,8.32048662
12.1,8.32048662
10.7,8.32048662
10.8,8.32048662
10.2,8.32048662
9.6,8.32048662
10.9,8.32048662
11.4,8.32048662
10.9,8.32048662
10.2,8.32048662
10.2,8.32048662
11,8.32048662
12.1,8.32048662
13.7,8.32048662
15.5,8.32048662
17.1,8.32048662
18.2,8.32048662
18.4,8.32048662
17.6,8.32048662
16.7,8.32048662
15.6,8.32048662
14,8.32048662
12.9,8.32048662
12,8.32048662
11.5,8.32048662
11.9,8.32048662
12.4,8.32048662
11.2,8.32048662
9.9,8.32048662
9.5,8.32048662
9.2,8.32048662
9.1,8.32048662
8.8,8.32048662
8.4,9.337117071
8.2,9.337117071
11,9.337117071
14.4,9.337117071
16.3,9.337117071
17.4,9.337117071
18.6,9.337117071
18.3,9.337117071
18,9.337117071
16.7,9.337117071
15.7,9.337117071
13.2,9.337117071
12,9.337117071
12.8,9.337117071
13.4,9.337117071
13.5,9.337117071
13.5,9.337117071
12.9,9.337117071
12.1,9.337117071
11.4,9.337117071
11,9.337117071
11.2,9.337117071
11.1,9.337117071
10.6,9.337117071
9.9,9.337117071
10.1,9.337117071
12,9.337117071
14.4,9.337117071
16.2,9.337117071
17.1,9.337117071
17.9,9.337117071
18.8,9.337117071
18.7,9.337117071
18,9.337117071
16.5,9.337117071
14.7,9.337117071
13,9.337117071
12,9.337117071
11.4,9.337117071
10.8,9.337117071
10.2,9.337117071
9.8,9.337117071
9.7,9.337117071
9,9.337117071
9.4,9.337117071
9.3,9.337117071
10,9.337117071
10.1,9.337117071
10.3,9.337117071
10.3,10.34382671
12,10.34382671
14.4,10.34382671
16.2,10.34382671
17.4,10.34382671
18.7,10.34382671
18.8,10.34382671
18.8,10.34382671
17.6,10.34382671
16.2,10.34382671
13.2,10.34382671
10.7,10.34382671
10,10.34382671
10.8,10.34382671
10.2,10.34382671
9.6,10.34382671
9.8,10.34382671
8.9,10.34382671
8.4,10.34382671
8,10.34382671
7.9,10.34382671
8.1,10.34382671
7.8,10.34382671
8.2,10.34382671
8.3,10.34382671
10.3,10.34382671
13,10.34382671
15.3,10.34382671
16.1,10.34382671
16.8,10.34382671
17.2,10.34382671
17.5,10.34382671
16,10.34382671
14.8,10.34382671
11.7,10.34382671
9.1,10.34382671
8.3,10.34382671
8.2,10.34382671
8.4,10.34382671
7.4,10.34382671
7.1,10.34382671
7.5,10.34382671
7.4,11.35776789
6.9,11.35776789
5.9,11.35776789
5.5,11.35776789
6.3,11.35776789
6.9,11.35776789
7.6,11.35776789
10,11.35776789
12.8,11.35776789
14.5,11.35776789
15.7,11.35776789
16,11.35776789
16.6,11.35776789
15.8,11.35776789
15.1,11.35776789
13.8,11.35776789
12.1,11.35776789
10.1,11.35776789
9.6,11.35776789
9.8,11.35776789
8.6,11.35776789
6.4,11.35776789
6.5,11.35776789
7,11.35776789
7.1,11.35776789
7.2,11.35776789
6.6,11.35776789
6.3,11.35776789
5.8,11.35776789
5.5,11.35776789
5.9,12.31427814
8,12.31427814
10.8,12.31427814
12.4,12.31427814
13.6,12.31427814
14.4,12.31427814
15,12.31427814
15,12.31427814
14.5,12.31427814
12.7,12.31427814
9,12.31427814
7.2,12.31427814
5.9,12.31427814
4.7,12.31427814
4.2,12.31427814
4.6,12.31427814
4.5,12.31427814
3.6,12.31427814
3.1,12.31427814
3.2,12.31427814
3.5,12.31427814
3.1,12.31427814
3.6,12.31427814
4.5,12.31427814
4.9,12.31427814
7.2,12.31427814
10.1,12.31427814
12.3,12.31427814
14.4,12.31427814
15.7,12.31427814
16.2,12.31427814
15.7,12.31427814
14.8,12.31427814
12.9,12.31427814
8.8,12.31427814
6.6,12.31427814
5.5,12.31427814
4.7,13.31678028
4.8,13.31678028
5.1,13.31678028
5.5,13.31678028
5.6,13.31678028
5.3,13.31678028
5.5,13.31678028
5,13.31678028
5.2,13.31678028
5.5,13.31678028
5.1,13.31678028
5.6,13.31678028
7.9,13.31678028
11,13.31678028
13.8,13.31678028
15.6,13.31678028
16.3,13.31678028
16.7,13.31678028
16.3,13.31678028
15.8,13.31678028
13.6,13.31678028
9.6,13.31678028
7.4,13.31678028
5.8,13.31678028
5.2,13.31678028
4.8,13.31678028
5,13.31678028
4.6,13.31678028
5.2,13.31678028
5.6,13.31678028
4.2,13.31678028
3.6,13.31678028
3.4,13.90096795
2.9,13.90096795
3.3,13.90096795
3.2,13.90096795
6.3,13.90096795
10.3,13.90096795
13,13.90096795
15.5,13.90096795
15,13.90096795
15.4,13.90096795
14.9,13.90096795
13.8,13.90096795
12.3,13.90096795
9.7,13.90096795
8.8,13.90096795
8.2,13.90096795
7.8,13.90096795
7.4,13.90096795
7.2,13.90096795
6.8,13.90096795
6.8,13.90096795
6.7,13.90096795
7.6,13.90096795
8.7,14.89798238
9.5,14.89798238
9.7,14.89798238
9.6,14.89798238
10.5,14.89798238
11.3,14.89798238
12.2,14.89798238
12.4,14.89798238
12.5,14.89798238
12.6,14.89798238
13.1,14.89798238
13.6,14.89798238
13.8,14.89798238
14.5,14.89798238
15.7,14.89798238
15.7,14.89798238
16,14.89798238
16,14.89798238
16.2,14.89798238
16.3,14.89798238
16.2,14.89798238
15.3,14.89798238
15.5,14.89798238
16.3,14.89798238
16.5,14.89798238
16.7,14.89798238
16.6,14.89798238
16.8,14.89798238
17,14.89798238
17.1,14.89798238
17.4,14.89798238
17.9,14.89798238
18.1,14.89798238
18.3,14.89798238
18.4,14.89798238
18.4,14.89798238
18.5,14.89798238
17.8,14.89798238
17.4,14.89798238
16.9,14.89798238
16.6,14.89798238
16.3,14.89798238
15.9,14.89798238
15.2,14.89798238
14.5,14.89798238
14.1,14.89798238
13.7,14.89798238
13.4,14.89798238
13.2,14.89798238
13.1,14.89798238
13,14.89798238
12.4,14.89798238
12.1,14.89798238
13,14.89798238
14.8,14.89798238
11.2,14.89798238
16.8,14.89798238
17.4,14.89798238
18,14.89798238
17.1,14.89798238
15.9,14.89798238
15.4,14.89798238
14.7,14.89798238
14.2,14.89798238
13.6,14.89798238
13,14.89798238
12.7,14.89798238
12.1,14.89798238
11.9,14.89798238
11.8,14.89798238
11.6,14.89798238
11.2,14.89798238
11.2,14.89798238
11,14.89798238
10.8,14.89798238
10.6,14.89798238
10.6,14.89798238
10.8,14.89798238
11.3,14.89798238
11.8,15.90490884
12.2,15.90490884
12.9,15.90490884
13.3,15.90490884
13.2,15.90490884
13,15.90490884
12.3,15.90490884
10.7,15.90490884
8.7,15.90490884
7.9,15.90490884
7.3,15.90490884
7.3,15.90490884
7.3,15.90490884
7.3,15.90490884
7.1,15.90490884
7.1,15.90490884
7,15.90490884
6.5,15.90490884
6.7,15.90490884
6.8,15.90490884
6.4,15.90490884
5.7,15.90490884
7.3,15.90490884
10.2,15.90490884
12.3,15.90490884
13.7,15.90490884
14.8,15.90490884
14.9,15.90490884
14,15.90490884
13.1,15.90490884
11.7,15.90490884
9.3,15.90490884
7.6,15.90490884
6.2,15.90490884
5.9,16.91812806
5.6,16.91812806
5.9,16.91812806
6.4,16.91812806
6.9,16.91812806
7.2,16.91812806
7.8,16.91812806
8.4,16.91812806
9,16.91812806
8.9,16.91812806
